,:ID,PKG_NAME,PAGE_RANK,:LABEL
1808,vcpkg1808,vcpkg-cmake,2.989121872941555,vcpkg
1809,vcpkg1809,vcpkg-cmake-config,2.9854785875736773,vcpkg
273,vcpkg273,boost-vcpkg-helpers,2.969015860150733,vcpkg
266,vcpkg266,boost-uninstall,2.965692062324896,vcpkg
149,vcpkg149,boost-config,2.9312542364577654,vcpkg
1898,vcpkg1898,zlib,2.9248022138903327,vcpkg
1407,vcpkg1407,qt5-base,2.9170231943624776,vcpkg
1449,vcpkg1449,qtbase,2.8844120881153845,vcpkg
1276,vcpkg1276,openssl,2.8553022509856616,vcpkg
693,vcpkg693,icu,2.8504639498588205,vcpkg
250,vcpkg250,boost-static-assert,2.8301865641684456,vcpkg
136,vcpkg136,boost-assert,2.824044434427923,vcpkg
1815,vcpkg1815,vcpkg-tool-meson,2.8168438747378017,vcpkg
156,vcpkg156,boost-core,2.8090793067887585,vcpkg
903,vcpkg903,libiconv,2.790118042996493,vcpkg
263,vcpkg263,boost-type-traits,2.78164029307188,vcpkg
256,vcpkg256,boost-throw-exception,2.7472222427604853,vcpkg
575,vcpkg575,freetype,2.7466645142371453,vcpkg
1412,vcpkg1412,qt5-declarative,2.7298858418451206,vcpkg
962,vcpkg962,libpng,2.693916817648559,vcpkg
226,vcpkg226,boost-preprocessor,2.6601417191037786,vcpkg
503,vcpkg503,egl-registry,2.6309914944444195,vcpkg
964,vcpkg964,libpq,2.628248225576867,vcpkg
1378,vcpkg1378,protobuf,2.6275890552725736,vcpkg
611,vcpkg611,gettext,2.6242102071017785,vcpkg
1200,vcpkg1200,nlohmann-json,2.6170373464977974,vcpkg
911,vcpkg911,libjpeg-turbo,2.615723223741041,vcpkg
1387,vcpkg1387,pthreads,2.604735983760991,vcpkg
625,vcpkg625,glib,2.600026364952702,vcpkg
208,vcpkg208,boost-mpl,2.596932253071474,vcpkg
1250,vcpkg1250,openblas,2.5933074293225493,vcpkg
1320,vcpkg1320,pcre2,2.591018219728242,vcpkg
1664,vcpkg1664,sqlite3,2.5747416999645747,vcpkg
504,vcpkg504,eigen3,2.568218238280316,vcpkg
706,vcpkg706,ignition-modularscripts,2.565814832782129,vcpkg
1434,vcpkg1434,qt5-tools,2.560315039764013,vcpkg
1886,vcpkg1886,yasm,2.554417731963245,vcpkg
269,vcpkg269,boost-utility,2.551987731094785,vcpkg
496,vcpkg496,ecm,2.521625564515327,vcpkg
949,vcpkg949,libogg,2.5150690569294847,vcpkg
1454,vcpkg1454,qtdeclarative,2.51366428174299,vcpkg
429,vcpkg429,curl,2.51330245801876,vcpkg
1036,vcpkg1036,libxml2,2.50337225521208,vcpkg
121,vcpkg121,blas,2.491836567429996,vcpkg
1340,vcpkg1340,pkgconf,2.4904826778012725,vcpkg
1476,vcpkg1476,qtshadertools,2.481677627152717,vcpkg
245,vcpkg245,boost-smart-ptr,2.4790355709057343,vcpkg
1433,vcpkg1433,qt5-svg,2.475804067473587,vcpkg
1904,vcpkg1904,zstd,2.4750342275343717,vcpkg
1385,vcpkg1385,pthread,2.458731743203132,vcpkg
1577,vcpkg1577,sdl2,2.456465106441524,vcpkg
225,vcpkg225,boost-predef,2.4551334780276086,vcpkg
253,vcpkg253,boost-system,2.454464163047674,vcpkg
519,vcpkg519,expat,2.4500584175548106,vcpkg
1416,vcpkg1416,qt5-imageformats,2.4428871724812327,vcpkg
1812,vcpkg1812,vcpkg-pkgconfig-get-modules,2.434863058549518,vcpkg
1504,vcpkg1504,rapidjson,2.431862982094697,vcpkg
129,vcpkg129,boost,2.430059234168927,vcpkg
844,vcpkg844,libb2,2.423011977210744,vcpkg
1063,vcpkg1063,lua,2.418830888892596,vcpkg
185,vcpkg185,boost-integer,2.413750055347959,vcpkg
191,vcpkg191,boost-iterator,2.4072759796874794,vcpkg
563,vcpkg563,fontconfig,2.382578008455946,vcpkg
672,vcpkg672,harfbuzz,2.3804481730419624,vcpkg
216,vcpkg216,boost-optional,2.371282710956492,vcpkg
204,vcpkg204,boost-modular-build-helper,2.36797412893801,vcpkg
142,vcpkg142,boost-build,2.36797412893801,vcpkg
255,vcpkg255,boost-thread,2.3643741344036444,vcpkg
426,vcpkg426,cuda,2.3636483333169105,vcpkg
115,vcpkg115,bitserializer,2.3636483333169105,vcpkg
205,vcpkg205,boost-move,2.361319263147867,vcpkg
21,vcpkg21,angle,2.360629188052208,vcpkg
1719,vcpkg1719,tiff,2.357800679704088,vcpkg
271,vcpkg271,boost-variant,2.3406109785847056,vcpkg
922,vcpkg922,liblzma,2.3397004314855643,vcpkg
162,vcpkg162,boost-detail,2.337661735345581,vcpkg
635,vcpkg635,gmp,2.3347235771437904,vcpkg
613,vcpkg613,gflags,2.327459037652378,vcpkg
135,vcpkg135,boost-asio,2.327096112335029,vcpkg
1032,vcpkg1032,libwebp,2.325434192472562,vcpkg
44,vcpkg44,asio,2.3246973348242674,vcpkg
1478,vcpkg1478,qttools,2.318920453976048,vcpkg
1218,vcpkg1218,oatpp,2.3187780557703723,vcpkg
1021,vcpkg1021,libusb,2.318538580415611,vcpkg
820,vcpkg820,lapack,2.3184497009869025,vcpkg
1676,vcpkg1676,stb,2.3170421945951194,vcpkg
476,vcpkg476,double-conversion,2.3147927544048272,vcpkg
1828,vcpkg1828,vulkan,2.30238128063355,vcpkg
