,:ID,PKG_NAME,PAGE_RANK,:LABEL
126387,rubygems126387,rspec,2.999826144916771,rubygems
118030,rubygems118030,rake,2.9998145380164027,rubygems
64336,rubygems64336,hoe,2.9997090078122444,rubygems
119732,rubygems119732,rdoc,2.999652730480676,rubygems
90605,rubygems90605,minitest,2.9996216226711505,rubygems
151194,rubygems151194,test-unit,2.999555223509819,rubygems
127519,rubygems127519,rubocop,2.999535177177756,rubygems
18151,rubygems18151,bundler,2.999495221520338,rubygems
152095,rubygems152095,thor,2.9994775924660355,rubygems
137640,rubygems137640,simplecov,2.999465812814811,rubygems
128628,rubygems128628,rubyforge,2.9994649218119216,rubygems
126721,rubygems126721,rspec-mocks,2.9994644014754623,rubygems
148346,rubygems148346,syntax,2.999444573780031,rubygems
167723,rubygems167723,yard,2.999382386395824,rubygems
75003,rubygems75003,json,2.9991051452762902,rubygems
135406,rubygems135406,session,2.9989859959090657,rubygems
115022,rubygems115022,rack,2.9989127553462804,rubygems
2575,rubygems2575,activesupport,2.99853008764922,rubygems
140089,rubygems140089,slop,2.9984922508700262,rubygems
156174,rubygems156174,tty-table,2.9983286719499542,rubygems
136575,rubygems136575,shoulda,2.998241329885168,rubygems
98665,rubygems98665,nokogiri,2.99823568295071,rubygems
75288,rubygems75288,json_pure,2.9981110089439813,rubygems
163818,rubygems163818,webrick,2.998098960637873,rubygems
167377,rubygems167377,yahoo_weatherman,2.998071936239635,rubygems
116481,rubygems116481,rails,2.998011719416686,rubygems
152214,rubygems152214,thread_order,2.9978917719838,rubygems
43350,rubygems43350,erubis,2.997847836793335,rubygems
144058,rubygems144058,sqlite3,2.9978145093594297,rubygems
128878,rubygems128878,RubyInline,2.997807577009639,rubygems
150572,rubygems150572,term-ansicolor,2.997788788244349,rubygems
69671,rubygems69671,io-console,2.9977695816577032,rubygems
133336,rubygems133336,sdoc,2.997607990722032,rubygems
126931,rubygems126931,rspec-support,2.997592230779318,rubygems
157930,rubygems157930,unicode-display_width,2.9975782690960684,rubygems
46908,rubygems46908,fattr,2.9975722753978475,rubygems
126550,rubygems126550,rspec-expectations,2.997309867232508,rubygems
34012,rubygems34012,defi,2.997146564158001,rubygems
110520,rubygems110520,power_assert,2.99714638266692,rubygems
137660,rubygems137660,simplecov-html,2.99708037437684,rubygems
137666,rubygems137666,simplecov_json_formatter,2.9970728092938765,rubygems
117947,rubygems117947,railties,2.9970585490990524,rubygems
163708,rubygems163708,webmock,2.9970402702826626,rubygems
118056,rubygems118056,rake-compiler,2.9969619824729827,rubygems
87870,rubygems87870,mechanize,2.996908364408802,rubygems
168965,rubygems168965,ZenTest,2.996813122499691,rubygems
150635,rubygems150635,terminal-table,2.996798705138056,rubygems
153110,rubygems153110,tins,2.996701378495591,rubygems
138613,rubygems138613,sinatra,2.9962945135765584,rubygems
168862,rubygems168862,zeitwerk,2.9962619619982305,rubygems
90681,rubygems90681,minitest-global_expectations,2.9962417214473787,rubygems
152227,rubygems152227,thread_safe,2.9961062875952766,rubygems
168540,rubygems168540,yui-compressor,2.9960128017039285,rubygems
117965,rubygems117965,rainbow,2.9958732824617216,rubygems
66988,rubygems66988,i18n,2.995769639535667,rubygems
129388,rubygems129388,ruby-progressbar,2.9957683199708214,rubygems
47547,rubygems47547,ffi,2.995756821540295,rubygems
112530,rubygems112530,psych,2.995731909094025,rubygems
94531,rubygems94531,multi_json,2.995688971185552,rubygems
118057,rubygems118057,rake-compiler-dock,2.995657721753924,rubygems
157282,rubygems157282,tzinfo,2.9955776630550486,rubygems
122947,rubygems122947,rest-client,2.995430966497013,rubygems
128536,rubygems128536,ruby-enum,2.9953202046723675,rubygems
27705,rubygems27705,concurrent-ruby,2.9953047101631136,rubygems
55260,rubygems55260,gettext,2.9953045141901185,rubygems
1551,rubygems1551,activemodel,2.9952307287481785,rubygems
151956,rubygems151956,thin,2.9950689267912,rubygems
381,rubygems381,abstract,2.9950377304342237,rubygems
8226,rubygems8226,artii,2.994745114649241,rubygems
152169,rubygems152169,thoughtbot-shoulda,2.9945121423582157,rubygems
106255,rubygems106255,pattern-match,2.9944239733079208,rubygems
10415,rubygems10415,aw,2.9944222129811258,rubygems
136590,rubygems136590,shoulda-matchers,2.994268504357905,rubygems
143722,rubygems143722,sprockets,2.993966408891535,rubygems
167389,rubygems167389,yajl-ruby,2.993657325085123,rubygems
143793,rubygems143793,sprockets-rails,2.993578870116925,rubygems
130069,rubygems130069,rubyzip,2.993202638215998,rubygems
109124,rubygems109124,Platform,2.992288864219816,rubygems
66148,rubygems66148,httparty,2.9921251899793364,rubygems
152740,rubygems152740,timecop,2.9920800123092253,rubygems
110072,rubygems110072,POpen4,2.9919016774202056,rubygems
128726,rubygems128726,rubygems-tasks,2.99177311913406,rubygems
152650,rubygems152650,tilt,2.9911599523502352,rubygems
156169,rubygems156169,tty-screen,2.9908676485757395,rubygems
1726,rubygems1726,activerecord,2.990817878260201,rubygems
160744,rubygems160744,verse,2.9907351824637924,rubygems
157225,rubygems157225,typhoeus,2.990455690257128,rubygems
143917,rubygems143917,spruz,2.990132988430332,rubygems
118124,rubygems118124,rake-multifile,2.989614497701678,rubygems
90108,rubygems90108,mime-types,2.988999722164323,rubygems
144895,rubygems144895,starling,2.9887472071785024,rubygems
161469,rubygems161469,virtus,2.988730766687248,rubygems
159196,rubygems159196,utils,2.9885699260426186,rubygems
150299,rubygems150299,tencentcloud-sdk-common,2.988426812158905,rubygems
54213,rubygems54213,gem_hadar,2.987951144699257,rubygems
15919,rubygems15919,bones,2.987518499775921,rubygems
963,rubygems963,actionview,2.98727402823867,rubygems
102834,rubygems102834,open4,2.987183544671828,rubygems
148241,rubygems148241,sync,2.9866728886559426,rubygems
17878,rubygems17878,builder,2.9864061747218784,rubygems
