,:ID,PKG_NAME,PAGE_RANK,:LABEL
4276,homebrew4276,pkg-config,2.994786822104333,homebrew
3744,homebrew3744,ncurses,2.992017682645459,homebrew
1948,homebrew1948,go,2.990202457008468,homebrew
801,homebrew801,cmake,2.9878150338322897,homebrew
261,homebrew261,autoconf,2.98721579214688,homebrew
3348,homebrew3348,m4,2.986936296254531,homebrew
6028,homebrew6028,zlib,2.9858551128833075,homebrew
4481,homebrew4481,python@3.10,2.985655674707469,homebrew
4020,homebrew4020,openssl@1.1,2.982664881092941,homebrew
553,homebrew553,ca-certificates,2.979923657240296,homebrew
4190,homebrew4190,perl,2.978433792816173,homebrew
3993,homebrew3993,openjdk,2.971970233706541,homebrew
4756,homebrew4756,rust,2.968255866632425,homebrew
536,homebrew536,bzip2,2.961200159553126,homebrew
4608,homebrew4608,readline,2.957758705079046,homebrew
1417,homebrew1417,expat,2.955022228083521,homebrew
4484,homebrew4484,python@3.9,2.9544353939753845,homebrew
269,homebrew269,automake,2.954193109611967,homebrew
1705,homebrew1705,gdbm,2.9497727911403717,homebrew
3124,homebrew3124,libtool,2.9453811999205888,homebrew
3824,homebrew3824,node,2.9418144341785104,homebrew
3194,homebrew3194,libxml2,2.941202031117188,homebrew
3813,homebrew3813,ninja,2.9362065486338835,homebrew
1960,homebrew1960,go@1.17,2.9317385525087847,homebrew
391,homebrew391,berkeley-db,2.9309480343766445,homebrew
1747,homebrew1747,gettext,2.926546820656272,homebrew
419,homebrew419,bison,2.925528406797288,homebrew
1909,homebrew1909,gmp,2.919013365075058,homebrew
2863,homebrew2863,libffi,2.9169843645373077,homebrew
5586,homebrew5586,unzip,2.9086834133577426,homebrew
3028,homebrew3028,libpng,2.9063542142615537,homebrew
5110,homebrew5110,sqlite,2.9052937360716484,homebrew
5947,homebrew5947,xz,2.899440256332618,homebrew
987,homebrew987,curl,2.8989287831325488,homebrew
1545,homebrew1545,flex,2.898459367005959,homebrew
4963,homebrew4963,six,2.88422198474651,homebrew
3994,homebrew3994,openjdk@11,2.879085559243208,homebrew
3475,homebrew3475,meson,2.876137004859776,homebrew
4740,homebrew4740,ruby,2.872142576776481,homebrew
462,homebrew462,boost,2.869887975078436,homebrew
1880,homebrew1880,glib,2.8691318054471626,homebrew
1689,homebrew1689,gcc,2.8687086194793814,homebrew
2516,homebrew2516,jpeg,2.8564499994229804,homebrew
3629,homebrew3629,mpdecimal,2.8512310806889154,homebrew
2323,homebrew2323,icu4c,2.84834044110532,homebrew
6025,homebrew6025,zip,2.837822034918509,homebrew
4153,homebrew4153,pcre,2.832009708755648,homebrew
3018,homebrew3018,libpcap,2.8216067573666184,homebrew
882,homebrew882,coreutils,2.812951071480624,homebrew
1622,homebrew1622,freetype,2.808784524499678,homebrew
3101,homebrew3101,libssh2,2.804672420123736,homebrew
2899,homebrew2899,libgpg-error,2.800598875900399,homebrew
4846,homebrew4846,sdl,2.7912446444822527,homebrew
4847,homebrew4847,sdl12-compat,2.7715909394690144,homebrew
3168,homebrew3168,libx11,2.769250977066151,homebrew
